Model,(i) $I(V; \acute{Z} \mid Z)$,(ii) $I(V;\acute{\Theta} \mid \acute{Z})$,(iii) $I(S;\acute{\Theta} \mid \acute{Z})$,FQI,RMSE,Prefix,Type,LatDim,Source,ISCORE,Scaling,ISCOREScal
ConVAE_ART_30_Mimic,0.05189403937492282,0.9339285696749711,0.25002127088983406,0.0979852962327351,3.1147487796170052,ConVAE,ART,30,Mimic,0.42626112038430386,0.47552594616998584,0.20269822258622433
ConVAE_ART_30_VitalDB,0.05480888731506435,1.3733661089194493,0.3293686791059146,0.0540252450311791,3.9467123762371905,ConVAE,ART,30,VitalDB,0.316180846131857,0.48336314850609086,0.15283016928361426
ConVAE_II_30_Mimic,1.4519194175821344,1.6679899832482417,0.35597942827096524,0.2400661930325791,0.3706650987876676,ConVAE,II,30,Mimic,0.7655464300637645,0.7384254351595749,0.5652989557546945
ConVAE_II_30_VitalDB,0.6079915720135471,1.4330492532505499,0.3303819083400608,0.1176731886469833,0.04125316734341134,ConVAE,II,30,VitalDB,0.4760904287574595,0.9242863496758977,0.44004388451186527
DiffWave_ART_Mimic,0.0,0.0017972708131734655,0.0005257373755757328,0.0438571452941719,5.026580300314432,DiffWave,ART,0,Mimic,0.6925116159407932,0.481825941115139,0.3336700610838384
DiffWave_ART_VitalDB,0.0,0.002529692095833706,0.0004944020614146744,0.0209404812494363,4.753469636439026,DiffWave,ART,0,VitalDB,0.692130053343337,0.4939494885877093,0.3418772858851253
DiffWave_II_Mimic,0.0,0.003237747296902368,0.000491713058080731,0.0036016934085265,0.16963107092260102,DiffWave,II,0,Mimic,0.6917751060282434,0.9201904557050589,0.6365648500615447
DiffWave_II_VitalDB,0.0,0.040464224374662586,0.00040297573514534084,0.0073437840987065,0.037525693397892065,DiffWave,II,0,VitalDB,0.6733171557817555,0.9779263929481345,0.6584546174637494
FACVAE_ART_30_Mimic,0.0609114051814516,0.9601033512946541,0.20566631299457658,0.088481498194856,2.9359677998661526,FACVAE,ART,30,Mimic,0.4053389731686393,0.48419968496494553,0.19626500311226966
FACVAE_ART_30_VitalDB,0.06784088885431439,1.2044617244068427,0.20287716371364778,0.0558493990531112,3.8306325082273545,FACVAE,ART,30,VitalDB,0.33151668682817265,0.4836887170819601,0.16035088094318076
FACVAE_II_30_Mimic,0.8727014026136635,2.041908235341317,0.2450207298452179,0.2759824315422873,0.3593389234643154,FACVAE,II,30,Mimic,0.3342227700576815,0.7284819790272736,0.24347526496759722
FACVAE_II_30_VitalDB,0.599086139269213,1.603940158956104,0.3722634854257239,0.0836808915582626,0.04277871273299023,FACVAE,II,30,VitalDB,0.4260608124914939,0.9389240441521449,0.4000387411192622
TCVAE_ART_30_Mimic,0.12861153643314255,1.5965120815857727,0.2363894049969698,0.1085020143627171,3.2439726104358395,TCVAE,ART,30,Mimic,0.2560762409839283,0.46809285420099356,0.11986745853522843
TCVAE_ART_30_VitalDB,0.1391900199316232,0.9805356057606059,0.09990074153093544,0.0539906118015883,4.525433331980164,TCVAE,ART,30,VitalDB,0.38962366437217755,0.47913551082471467,0.18668253345836047
TCVAE_II_30_Mimic,0.5890790418321227,0.6633161710545058,0.4051965646079217,0.3398892909652957,0.46704642275130615,TCVAE,II,30,Mimic,0.8722566311079049,0.6693500580596772,0.5838450266750146
TCVAE_II_30_VitalDB,0.4270006014288756,0.7780407459830869,0.16898302856428893,0.0951246376312124,0.04742523205020931,TCVAE,II,30,VitalDB,0.6062560126047308,0.9314706873704841,0.5647097047834175
VDVAE_ART_30_Mimic,0.06554013296199965,1.357639266149643,0.11244622810191882,0.0890074093546588,2.8555112469684842,VDVAE,ART,30,Mimic,0.26802927411098176,0.4861825992932875,0.13031116917397018
VDVAE_ART_30_VitalDB,0.05105113827771588,1.3410994005211176,0.16970383426666832,0.0503314611220798,3.9582213853603667,VDVAE,ART,30,VitalDB,0.28229315384106934,0.4850056157865503,0.13691376491101523
VDVAE_II_30_Mimic,0.12970193595873517,1.22543281965211,0.17808064596549722,0.2070889793427939,0.35211728465187747,VDVAE,II,30,Mimic,0.33608399493822516,0.758072477050368,0.2547760265398037
VDVAE_II_30_VitalDB,0.24920594996947543,1.4744328872895587,0.38090642974144345,0.0821431714826872,0.040174853954882024,VDVAE,II,30,VitalDB,0.3575690809367497,0.9408807621357644,0.33642986938795394
VDWave_ART_Mimic,0.0,0.0014176139757567235,0.00042340124602274645,0.043657436934941,5.009347058731024,VDWave,ART,0,Mimic,0.6926501977524423,0.48197854557295433,0.3338425349035413
VDWave_ART_VitalDB,0.0,0.0023488493304919854,0.0004230818869098025,0.0207910102127435,4.724474775724545,VDWave,ART,0,VitalDB,0.6921847604106134,0.4941495034832713,0.3420427556755917
VDWave_II_Mimic,0.0,0.0026731978597297596,0.00041002458300942295,0.0035581484563969,0.16765425926627542,VDWave,II,0,Mimic,0.6920162341656085,0.9210471663617406,0.6373795915545565
VDWave_II_VitalDB,0.0,0.039031711434791505,0.0004015031493812365,0.0077352964879883,0.03760619642715014,VDWave,II,0,VitalDB,0.6740186014437783,0.9776933396364749,0.6589834974226738
Wavenet_ART_Mimic,0.0,0.4754226833824148,0.04869063934915743,0.0747475166090064,4.616588865757034,Wavenet,ART,0,Mimic,0.5023730454575076,0.4689321091912464,0.23557885180721894
Wavenet_ART_VitalDB,0.0,0.8151961614610606,0.03571642283588409,0.055973063191146,4.567958892865524,Wavenet,ART,0,VitalDB,0.3775076238891923,0.47797186452721335,0.18043802286355523
Wavenet_II_Mimic,0.0,0.8518523584176938,0.02037059359643213,0.2161956932233643,0.47202975794090907,Wavenet,II,0,Mimic,0.36144609348669493,0.7146562959679867,0.2583097263633001
Wavenet_II_VitalDB,0.0,0.4749550459997034,0.04556079747752376,0.057859236587053,0.06338185699942138,Wavenet,II,0,VitalDB,0.5013225689996667,0.9411838940861046,0.47183672768435614
SKZFC_ART_1_30_800_Mimic,3.6299580552512287,0.047845678218630026,0.8359688553660648,0.0882776433808853,3.689302012690117,SKZFC,ART,30,Mimic,4.43006646702111,0.47024804766874634,2.0832301071594577
SKZFC_ART_1_30_800_VitalDB,3.124754070380773,0.034779423006712065,0.9195633125140357,0.0406509071319054,4.434750582747936,SKZFC,ART,30,VitalDB,4.027517137011617,0.48601114053901123,1.9574181972994291
SKZFC_II_1_30_800_Mimic,2.6601634652724617,0.20240439908220245,0.7954791682211624,0.2226779794477603,0.3801796776563762,SKZFC,II,30,Mimic,3.2911589211028116,0.7420555449223973,2.442222726625156
SKZFC_II_1_30_800_VitalDB,1.6492265688485788,0.1377180951586776,0.5990417852008433,0.1473632981008941,0.05031545756479215,SKZFC,II,30,VitalDB,2.224924176783582,0.9069549003130295,2.017905884958803
